"catch-difficulty","catch-phrase","color-1","color-2","creature-type","critterpedia-filename","critterpedia-image","description","furniture-filename","furniture-image","hha-base-points","hha-category","icon-filename","icon-image","id","lighting-type","movement-speed","name","nh-apr","nh-aug","nh-dec","nh-feb","nh-jan","nh-jul","nh-jun","nh-mar","nh-may","nh-nov","nh-oct","nh-sep","sell","sh-apr","sh-aug","sh-dec","sh-feb","sh-jan","sh-jul","sh-jun","sh-mar","sh-may","sh-nov","sh-oct","sh-sep","shadow","size","spawn-rates","surface","total-catches-to-unlock","vision","weather","where-how"
"Hard","I caught a bitterling! It's mad at me, but only a little.","Light blue","Blue","Fish","FishTanago","https://acnhcdn.com/latest/BookFishIcon/FishTanagoCropped.png","Bitterlings hide their eggs inside large bivalves—like clams—where the young can stay safe until grown. The bitterling isn't being sneaky. No, their young help keep the bivalve healthy by eating invading parasites! It's a wonderful bit of evolutionary deal making, don't you think? Each one keeping the other safe... Though eating parasites does not sound like a happy childhood... Is that why the fish is so bitter?","FtrFishTanago","https://acnhcdn.com/latest/FtrIcon/FtrFishTanago.png",71,"Pet","Fish0","https://acnhcdn.com/latest/MenuIcon/Fish0.png","F1","No lighting",NA,"bitterling",NA,NA,"All day","All day","All day",NA,NA,"All day",NA,"All day",NA,NA,900,NA,"All day",NA,NA,NA,"All day","All day",NA,"All day",NA,NA,"All day","X-Small","1x1","12–17","No",0,"Medium","Any weather","River"
"Medium","I caught a killifish! The streams are safe again.","Yellow","Black","Fish","FishMedaka","https://acnhcdn.com/latest/BookFishIcon/FishMedakaCropped.png","Ah, the magnificent killifish! Did you know there are over 1,000 different species? My own favorite killifish species are the mangrove, which can live on land for weeks, breathing air! And the mummichog, the first fish ever brought to space. I wonder if the killifish you've brought me is related to either those intrepid explorers?","FtrFishMedaka","https://acnhcdn.com/latest/FtrIcon/FtrFishMedaka.png",71,"Pet","Fish9","https://acnhcdn.com/latest/MenuIcon/Fish9.png","F10","Fluorescent",NA,"killifish","All day","All day",NA,NA,NA,"All day","All day",NA,"All day",NA,NA,NA,300,NA,NA,"All day","All day","All day",NA,NA,NA,NA,"All day","All day",NA,"X-Small","1x1","3–4","No",0,"Medium","Any weather","Pond"
"Very Easy","I caught a crawfish! Or else it's a lobster and I'm a giant!","Red","Black","Fish","FishZarigani","https://acnhcdn.com/latest/BookFishIcon/FishZariganiCropped.png","Ohoo! So you have found a crawfish. Neither crab nor lobster, crawfish evolved in an interesting manner. Beware their fearsome pinchy pinchers! Behold their many legs! I say! It is a big bug-like, eh wot...The more I look at it, the more unsettled I feel... Let's be done with this and never speak of it again, shall we?","FtrFishZarigani","https://acnhcdn.com/latest/FtrIcon/FtrFishZarigani.png",71,"Pet","Fish10","https://acnhcdn.com/latest/MenuIcon/Fish10.png","F11","Fluorescent",NA,"crawfish","All day","All day",NA,NA,NA,"All day","All day",NA,"All day",NA,NA,"All day",200,NA,NA,"All day","All day","All day",NA,NA,"All day",NA,"All day","All day",NA,"Small","1x1","4–12","No",0,"Very Wide","Any weather","Pond"
"Hard","I caught a soft-shelled turtle! It's more sensitive than other turtles.; I caught a soft-shelled turtle! I should take a shellfie!","Green","Black","Fish","FishSuppon","https://acnhcdn.com/latest/BookFishIcon/FishSupponCropped.png","These relatives of common turtles will not let go when they decide to bite down on something. Although they can be quite shy, they will become a bit aggressive when threatened. They are often found in water and are very good swimmers because of the flat shape of their shells. They swim with their snouts over the surface of the water so they can breathe. Soft-shelled turtles aren't safe to hold because they are so prone to biting at the slightest movement. However, if one bites down on you, it will usually let go when you put it safely back in the water.","FtrFishSuppon","https://acnhcdn.com/latest/FtrIcon/FtrFishSuppon.png",71,"Pet","Fish65","https://acnhcdn.com/latest/MenuIcon/Fish65.png","F12","No lighting",NA,"soft-shelled turtle",NA,"4 PM – 9 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 PM – 9 AM",3750,NA,NA,NA,"4 PM – 9 AM",NA,NA,NA,"4 PM – 9 AM",NA,NA,NA,NA,"Large","1x1","4","No",20,"Narrow","Any weather","River"
"Hard","I caught a snapping turtle! How can it snap without fingers?","Brown","Black","Fish","FishKamitsukigame","https://acnhcdn.com/latest/BookFishIcon/FishKamitsukigameCropped.png","The snapping turtle is a large turtle known for it's crocodile-like body and long claws. No, wait-- it is better known for it's ferocious bite, which it can deliver with shocking speed for a turtle. NO, WAIT-- it is BEST known for that time one chased me across a parking lot and I had to climb on top of a car.","FtrFishKamitukigame","https://acnhcdn.com/latest/FtrIcon/FtrFishKamitukigame.png",71,"Pet","Fish78","https://acnhcdn.com/latest/MenuIcon/Fish78.png","F13","No lighting",NA,"snapping turtle","9 PM – 4 AM","9 PM – 4 AM",NA,NA,NA,"9 PM – 4 AM","9 PM – 4 AM",NA,"9 PM – 4 AM",NA,"9 PM – 4 AM","9 PM – 4 AM",5000,"9 PM – 4 AM",NA,"9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM",NA,NA,"9 PM – 4 AM",NA,"9 PM – 4 AM","9 PM – 4 AM",NA,"Large","1x1","2–3","No",0,"Medium","Any weather","River"
"Easy","I caught a tadpole... It's just a tad small.","Black","Blue","Fish","FishOtamajakusi","https://acnhcdn.com/latest/BookFishIcon/FishOtamajakusiCropped.png","Undoubtedly you know that tadpoles eventually turn into frogs. I must say, I find them impossibly adorable with their squiggly little tails. But even cuter... when they sprout legs! Why, we can witness accelerated evolution in these squirmy little ones. Hoo, it makes me so emotional!","FtrFishOtama","https://acnhcdn.com/latest/FtrIcon/FtrFishOtama.png",71,"Pet","Fish64","https://acnhcdn.com/latest/MenuIcon/Fish64.png","F14","No lighting",NA,"tadpole","All day",NA,NA,NA,NA,"All day","All day","All day","All day",NA,NA,NA,100,NA,NA,"All day",NA,"All day",NA,NA,NA,NA,"All day","All day","All day","X-Small","1x1","5–6","No",0,"Very Wide","Any weather","Pond"
"Easy","I caught a frog! Or it's a new neighbor...and I have some apologizing to do.","Green","Black","Fish","FishKaeru","https://acnhcdn.com/latest/BookFishIcon/FishKaeruCropped.png","I understand that frogs converse with fellow frogs through a number of varied calls, as it were. Ribbit! My prince has arrived! Gribbit riiibbit! This pond is tragic! Ribbity rib't! I think you're splendid! Hoo hoo, of course I have no clue what they're saying, but I like to think if I practice enough, I might!","FtrFishKaeru","https://acnhcdn.com/latest/FtrIcon/FtrFishKaeru.png",71,"Pet","Fish11","https://acnhcdn.com/latest/MenuIcon/Fish11.png","F15","Fluorescent",NA,"frog",NA,"All day",NA,NA,NA,"All day","All day",NA,"All day",NA,NA,NA,120,NA,NA,"All day","All day","All day",NA,NA,NA,NA,"All day",NA,NA,"Small","1x1","7–9","No",0,"Very Wide","Any weather","Pond"
"Very Easy","I caught a freshwater goby! Time to go bye-bye!","Brown","Black","Fish","FishDonko","https://acnhcdn.com/latest/BookFishIcon/FishDonkoCropped.png","The freshwater goby is an unassuming specimen. But beneath that calm, fish exterior, true gluttony resides! It will eat anything that will fit in its mouth...And its mouth is quite the gaping maw, so I recommend you refrain from drawing attention to yourself!","FtrFishDonko","https://acnhcdn.com/latest/FtrIcon/FtrFishDonko.png",71,"Pet","Fish12","https://acnhcdn.com/latest/MenuIcon/Fish12.png","F16","Fluorescent",NA,"freshwater goby","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM",400,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","Small","1x1","2–5","Yes",0,"Medium","Any weather","River"
"Easy","I caught a loach! It's...looking at me with reproach.","Brown","Blue","Fish","FishDojou","https://acnhcdn.com/latest/BookFishIcon/FishDojouCropped.png","Loaches are a large group of bottom-feeding freshwater fish. Because there are so many species, it is difficult to generalize about them all. The one thing they all have in common is perhaps their most unappealing trait; the name 'loach.' Repellent, isn't it? They should have just called it the 'cockloach' and been done with it, eh wot! Loach...loach... It just tastes terrible in the beak.","FtrFishDojou","https://acnhcdn.com/latest/FtrIcon/FtrFishDojou.png",71,"Pet","Fish13","https://acnhcdn.com/latest/MenuIcon/Fish13.png","F17","No lighting",NA,"loach","All day",NA,NA,NA,NA,NA,NA,"All day","All day",NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All day","All day","All day","Small","1x1","12–16","No",0,"Wide","Any weather","River"
"Medium","I caught a catfish! I'm more of a dogfish person...","Black","Black","Fish","FishNamazu","https://acnhcdn.com/latest/BookFishIcon/FishNamazuCropped.png","Catfish don't have scales and are rather slimy. Believe it or not, this slime helps them breathe! Some species of catfish are nocturnal, and they'll feed on almost anything. They use a suctioning action to pull in their food. Did I mention they can grow as large as you or I?","FtrFishNamazu","https://acnhcdn.com/latest/FtrIcon/FtrFishNamazu.png",71,"Pet","Fish14","https://acnhcdn.com/latest/MenuIcon/Fish14.png","F18","Fluorescent",NA,"catfish",NA,"4 PM – 9 AM",NA,NA,NA,"4 PM – 9 AM","4 PM – 9 AM",NA,"4 PM – 9 AM",NA,"4 PM – 9 AM","4 PM – 9 AM",800,"4 PM – 9 AM",NA,"4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM",NA,NA,"4 PM – 9 AM",NA,"4 PM – 9 AM",NA,NA,"Large","1x1","6–8","Yes",0,"Medium","Any weather","Pond"
"Hard","I caught a giant snakehead! Um...but I asked for a medium?","Black","Black","Fish","FishRaigyo","https://acnhcdn.com/latest/BookFishIcon/FishRaigyoCropped.png","The giant snakehead is quite a sight to behold, wot! One glance conjurs up visions of its namesake. This resilient creature can even find a home in the mud, where it is able to breathe. As a matter of fact, it dislikes cold weather, so during wintertime the mud serves as its temporary home. I hear that they eat anything that swims past their head. While odd, I feel a sense of owlship with them.","FtrFishRaigyo","https://acnhcdn.com/latest/FtrIcon/FtrFishRaigyo.png",71,"Pet","Fish16","https://acnhcdn.com/latest/MenuIcon/Fish16.png","F19","Fluorescent",NA,"giant snakehead",NA,"9 AM – 4 PM",NA,NA,NA,"9 AM – 4 PM","9 AM – 4 PM",NA,NA,NA,NA,NA,5500,NA,NA,"9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM",NA,NA,NA,NA,NA,NA,NA,"Large","2x1","2","Yes",50,"Medium","Any weather","Pond"
